entidad,entidad_departamento,descripcion_item,monto_referencial_item_soles,monto_adjudicado_item_soles,diferencia_pct_cap,dias_proceso,proveedor
GOBIERNO REGIONAL DE LA LIBERTAD-INSTITUTO REGIONAL DE OFTALMOLOGIA,LA LIBERTAD,HIALURONATO DE SODIO SIN PRESERVANTES (SOLUCION OFTALMICA) 4 mg/ml SOL 10 ml,50960.0,152600.0,199.45054945054946,23,LABOFTA S.A.C
GOBIERNO REGIONAL DE LA LIBERTAD - PROYECTO ESPECIAL CHAVIMOCHIC,LA LIBERTAD,ADQUISICI¿N DE MORTERO PREDOSIFICADO DE ALTA RESISTENCIA (GROUT),72098.0,215670.0,199.1345113595384,43,SOLUCIONES INNOVADORAS J&B  S.A.C.
CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,LIMA,PROXIMETACAINA 5MG/ML SOL OFT 15 ML,83220.0,247800.0,197.76496034607064,15,LABORATORIOS LANSIER S.A.C.
EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO DE AGUA POTABLE Y ALCANTARILLADO DE LAMBAYEQUE S.A.,LAMBAYEQUE,LLAVE DE PASO PVC 02 P,43186.0,127168.2,194.4662622146066,32,DISTRIBUIDORA YOHANA SOCIEDAD ANONIMA CERRADA - DISTRIBUIDORA YOHANA S.A.C.
EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO DE AGUA POTABLE Y ALCANTARILLADO DE LAMBAYEQUE S.A.,LAMBAYEQUE,LLAVE DE PASO PVC TRES CUARTOS  C/NIPLE Y TUERCA,43186.0,127168.2,194.4662622146066,32,DISTRIBUIDORA YOHANA SOCIEDAD ANONIMA CERRADA - DISTRIBUIDORA YOHANA S.A.C.
EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO DE AGUA POTABLE Y ALCANTARILLADO DE LAMBAYEQUE S.A.,LAMBAYEQUE,LLAVE DE PASO PVC MEDIA  C/NIPLE Y TUERCA,43188.0,127168.2,194.45262572936926,32,DISTRIBUIDORA YOHANA SOCIEDAD ANONIMA CERRADA - DISTRIBUIDORA YOHANA S.A.C.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,FLUOROMETRIA Qubit¿ dsDNA BR ASSAY KIT,2800.0,8236.56,194.16285714285712,34,BELOMED S.R.L.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,PAQUETE N¿05 - MATERIALES DE CAMPO,12220.0,35634.0,191.6039279869067,35,JH TUMAY E.I.R.L.
SEGURO SOCIAL DE SALUD,LIMA,DURAMADRE SINT¿TICA DE POLIESTER 4.0 X 10 CM,65880.0,192000.0,191.43897996357012,146,NEWSON S.A.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,POWERUP¿ SYBR¿ GREEN MASTER MIX FOR QPCR,1600.0,4636.6,189.78750000000002,32,BELOMED S.R.L.
MINISTERIO DE SALUD,LIMA,SERVICIO DE INTERNET Y ENLACE DEDICADO PARA EL MINISTERIO DE SALUD,1198800.0,3398400.0,183.4834834834835,210,AMERICA MOVIL PERU S.A.C.
